29	Thornton FD Disp
4129	Thornton FD OpsB
30	Thornton FD OpsA
37	Fed Heights Fire
38	Fed Heights OpsA
6	NorthMetro Disp
7	NorthMetro Ops A
10	NorthMetro Ops C
8	AdamsCo FR Disp
9	AdamsCo FR Ops A
4146	AdamsCo Mayday
35	South Adams Disp
36	South Adams OpsA
33	AdamsCo FR Ops B
34	AdamsCo FR Ops C
1907	WeldCo Fire Disp
9001	Greeley Fire 1
1908	WeldFG2 Greeley
1909	WeldFG3 Eaton
1910	WeldFG4 Wndsor
1911	WeldFG5 AltPc
1921	WeldFG6 Evans
1922	WeldFG7 Nunn
1923	WeldFG8 FredFstn
1924	WeldFG9 Hudson
1925	WeldFG10 FtLuptn
1919	WeldFG11 LaSalle
1920	WeldFG12 MtnView
1956	WeldFG13 Platvil
1957	WeldFG14 SE Weld
1958	WeldFG15 PlatVly
1941	WeldFG16 Millikn
1942	WeldFG17 Jonstwn
1943	WeldFG18 Galeton
1955	WeldFG19 Brgsdal
1933	WeldFG20 Pawnee
1937	WeldFG21 Raymer
1963	WeldFG22 Trainig
1916	WeldFG23 Traing
1913	WeldCo EMS Disp
1914	WeldCo EMS Ops 1
1915	WeldCo EMS Ops 2
1960	FtLupton PD Ch 3
1900	Greeley PD 1
1901	Greeley PD 2
1906	Greeley PD Adm
9113	MtnView Fire 1
9114	MtnView Fire 2
9540	MtnView Fire 3
9541	MtnView Fire 4
9557	MtnView Fire 5
9558	MtnView Fire 6
9559	Windsor FR Ops 1
9560	MtnView Fire 8
54	NorthMetro Ops B
73	South Adams OpsB
80	South Adams OpsC
31	Brighton FD Disp
32	Brighton FD OpsA
4171	Brighton FD OpsB
4172	Brighton FD OpsC
4152	AdamsCo FD MAC 1
4153	AdamsCo FD MAC 2
4154	AdamsCo FD MAC 3
4155	AdamsCo FD MAC 4
4156	AdamsCo FD MAC T
4121	Thornton FD OpsC
9000	FtLupton FD Admn
4157	AdamsCo FD MAC T
1936	WeldFG1 Greeley
2047	WeldFireTone2047
2031	WeldFireTone2031
2028	WeldFireTone2028
2059	WeldFireTone2059
2036	WeldFireTone2036
2017	GreeleyFireTones
38601	Westy FD Emer
38602	Westy FD Disp
38603	Westy FD Ops A
38604	Westy FD Ops B
38605	Westy FD Ops C
38606	Westy FD Train
38801	AdamsCo FR SHTac
9566	GreeleyFire CAD
9561	WeldFireCAD 9561
9562	WeldFireCAD 9562
9563	WeldFireCAD 9563
9564	WeldFireCAD 9564
9565	WeldFireCAD 9565
4188	Brighton FD OpsD
9011	FFFD Ops-B
1980	Fire MCI 1
1981	Fire MCI 2
4190	South Adams OpsD
4189	AdamsCo FR Ops D
4187	NorthMetro Ops D
4191	Thornton FD OpsD
